city_name;country_name;year_observation;year_reporting;gpcX2012;gpcX2013;gpcX2014;gpcX2015;gpcX2016;City_Code;geoname_id
Logroño;Espana;;2019;36189;35909;36986;38256;38441;ES018C1;3118150
Bilbao;Espana;;2019;41395;40649;41802;43496;44841;ES019C1;3128026
Córdoba;Espana;;2019;23268;23486;23701;25035;25629;ES020C1;2519240
Alicante/Alacant;Espana;;2019;24640;24339;25182;26063;27413;ES021C1;2521978
Vigo;Espana;;2019;28046;28127;28756;29803;30670;ES022C1;3105976
Gijón;Espana;;2019;30232;29452;29634;30764;31360;ES023C1;3121424
L'Hospitalet de Llobregat;Espana;;2019;39140;38989;40040;41626;43136;ES024C1;3120619
Santa Cruz de Tenerife;Espana;;2019;29579;28711;28831;29766;30017;ES025C1;2511174
A Coruña;Espana;;2019;31108;31048;31014;32625;33663;ES026C1;3119841
Barakaldo;Espana;;2019;41395;40649;41802;43496;44841;ES027C1;3109453
Reus;Espana;;2019;38550;38204;39280;41538;43488;ES028C1;3111933
Telde;Espana;;2019;26877;26634;26560;26738;27794;ES029C1;2510542
Parla;Espana;;2019;46040;45459;46220;47985;49219;ES030C1;3114256
Lugo;Espana;;2019;30024;30304;31420;33140;33374;ES031C1;3117814
San Fernando;Espana;;2019;24337;23668;23472;24116;24991;ES032C1;2511388
Girona;Espana;;2019;38467;37799;38578;39893;41587;ES033C1;3121456
Cáceres;Espana;;2019;23934;23885;24159;25169;26382;ES034C1;2520611
Torrevieja;Espana;;2019;24640;24339;25182;26063;27413;ES035C1;2510253
Pozuelo de Alarcón;Espana;;2019;46040;45459;46220;47985;49219;ES036C1;3112989
Puerto de Santa María, El;Espana;;2019;24337;23668;23472;24116;24991;ES037C1;2518207
Coslada;Espana;;2019;46040;45459;46220;47985;49219;ES038C1;3124408
Avilés;Espana;;2019;30232;29452;29634;30764;31360;ES039C1;3129135
Talavera de la Reina;Espana;;2019;24382;24143;24087;24989;26013;ES040C1;2510693
Palencia;Espana;;2019;34202;33953;33937;35837;38388;ES041C1;3114531
Sant Boi de Llobregat;Espana;;2019;39140;38989;40040;41626;43136;ES042C1;3110834
Ferrol;Espana;;2019;31108;31048;31014;32625;33663;ES043C1;3123493
Pontevedra;Espana;;2019;28046;28127;28756;29803;30670;ES044C1;3113209
Ceuta;Espana;;2019;27457;27688;27569;28390;28933;ES045C1;6362987
Gandia;Espana;;2019;31084;30852;31699;32616;32911;ES046C1;2517367
Rozas de Madrid, Las;Espana;;2019;46040;45459;46220;47985;49219;ES047C1;3118848
Guadalajara;Espana;;2019;27726;26876;25831;25882;27255;ES048C1;3121070
Sant Cugat del Vallès;Espana;;2019;39140;38989;40040;41626;43136;ES049C1;3110718
Manresa;Espana;;2019;39140;38989;40040;41626;43136;ES050C1;3117533
Getxo;Espana;;2019;41395;40649;41802;43496;44841;ES051C1;3121007
Rubí;Espana;;2019;39140;38989;40040;41626;43136;ES052C1;3111294
Ciudad Real;Espana;;2019;28078;27270;26791;28974;29753;ES053C1;2519402
Benidorm;Espana;;2019;24640;24339;25182;26063;27413;ES054C1;2521088
Melilla;Espana;;2019;25101;25048;25201;25970;26620;ES055C1;2513947
Viladecans;Espana;;2019;39140;38989;40040;41626;43136;ES056C1;3105935
Ponferrada;Espana;;2019;29179;28280;28441;29242;29584;ES057C1;3113236
San Sebastián de los Reyes;Espana;;2019;46040;45459;46220;47985;49219;ES058C1;3110040
Zamora;Espana;;2019;28427;27466;27522;28597;29284;ES059C1;933141
Fuengirola;Espana;;2019;24411;23884;24482;25315;25833;ES060C1;2517595
Cerdanyola del Vallès;Espana;;2019;39140;38989;40040;41626;43136;ES061C1;3109402
Sanlúcar de Barrameda;Espana;;2019;24337;23668;23472;24116;24991;ES062C1;2511306
Vilanova i la Geltrú;Espana;;2019;39140;38989;40040;41626;43136;ES063C1;3105184
Prat de Llobregat, El;Espana;;2019;39140;38989;40040;41626;43136;ES064C1;3123329
Línea de la Concepción, La;Espana;;2019;24337;23668;23472;24116;24991;ES065C1;2515812
Cornellà de Llobregat;Espana;;2019;39140;38989;40040;41626;43136;ES066C1;3124569
Majadahonda;Espana;;2019;46040;45459;46220;47985;49219;ES067C1;3117667
Torremolinos;Espana;;2019;24411;23884;24482;25315;25833;ES068C1;2510281
Castelldefels;Espana;;2019;39140;38989;40040;41626;43136;ES069C1;3125897
Irun;Espana;;2019;43784;42845;43188;44369;45719;ES070C1;3120304
Granollers;Espana;;2019;39140;38989;40040;41626;43136;ES071C1;3121145
Arrecife;Espana;;2019;30649;31837;32216;33153;34232;ES072C1;2521570
Elda;Espana;;2019;24640;24339;25182;26063;27413;ES073C1;2518505
Santa Lucía de Tirajana;Espana;;2019;26877;26634;26560;26738;27794;ES074C1;2511150
Mollet del Vallès;Espana;;2019;39140;38989;40040;41626;43136;ES075C1;3116553
Granada;Espana;;2019;24012;23729;24563;25713;25876;ES501C1;2517117
Badalona;Espana;;2019;39140;38989;40040;41626;43136;ES503C1;3129028
Móstoles;Espana;;2019;46040;45459;46220;47985;49219;ES504C1;3116025
Elche/Elx;Espana;;2019;24640;24339;25182;26063;27413;ES505C1;2518559
Cartagena;Espana;;2019;27482;27433;27628;29263;29973;ES506C1;2520058
Sabadell;Espana;;2019;39140;38989;40040;41626;43136;ES507C1;3111199
Jerez de la Frontera;Espana;;2019;24337;23668;23472;24116;24991;ES508C1;2516326
Fuenlabrada;Espana;;2019;46040;45459;46220;47985;49219;ES509C1;3121960
San Sebastián/Donostia;Espana;;2019;43784;42845;43188;44369;45719;ES510C1;3110044
Alcalá de Henares;Espana;;2019;46040;45459;46220;47985;49219;ES511C1;3130616
Terrassa;Espana;;2019;39140;38989;40040;41626;43136;ES512C1;3108286
Leganés;Espana;;2019;46040;45459;46220;47985;49219;ES513C1;3118594
Almería;Espana;;2019;25610;25104;26289;27972;28612;ES514C1;2521886
Burgos;Espana;;2019;38624;37307;37336;38407;40132;ES515C1;3127461
Salamanca;Espana;;2019;27070;26343;26714;27806;29317;ES516C1;3111108
Alcorcón;Espana;;2019;46040;45459;46220;47985;49219;ES517C1;3130564
Getafe;Espana;;2019;46040;45459;46220;47985;49219;ES518C1;3121437
Albacete;Espana;;2019;26647;26450;26294;27839;28591;ES519C1;2522258
Castellón de la Plana/Castelló de la Plana;Espana;;2019;32487;32647;33284;35620;37449;ES520C1;2519752
Huelva;Espana;;2019;26102;24190;24137;25471;26595;ES521C1;2516548
Cádiz;Espana;;2019;24337;23668;23472;24116;24991;ES522C1;2520600
León;Espana;;2019;29179;28280;28441;29242;29584;ES523C1;3118532
San Cristóbal de la Laguna;Espana;;2019;29579;28711;28831;29766;30017;ES524C1;2511401
Tarragona;Espana;;2019;38550;38204;39280;41538;43488;ES525C1;3108288
Santa Coloma de Gramenet;Espana;;2019;39140;38989;40040;41626;43136;ES526C1;3109981
Jaén;Espana;;2019;22077;23612;22667;25505;25298;ES527C1;2516395
Lleida;Espana;;2019;40748;41176;41692;43297;42278;ES528C1;3118514
Ourense;Espana;;2019;28115;27698;27847;28791;30267;ES529C1;3114965
Mataró;Espana;;2019;39140;38989;40040;41626;43136;ES530C1;3117164
Dos Hermanas;Espana;;2019;27350;26400;26952;27594;28208;ES531C1;2518794
Algeciras;Espana;;2019;24337;23668;23472;24116;24991;ES532C1;2522013
Marbella;Espana;;2019;24411;23884;24482;25315;25833;ES533C1;2514169
Torrejón de Ardoz;Espana;;2019;46040;45459;46220;47985;49219;ES534C1;3107784
Alcobendas;Espana;;2019;46040;45459;46220;47985;49219;ES535C1;3130583
Helsinki / Helsingfors;Finland;;2019;56731;56710;55600;56445;57347;FI001C2;658225
Tampere / Tammerfors;Finland;;2019;41408;39956;38984;38388;39875;FI002C1;634963
Turku / Åbo;Finland;;2019;39662;38751;38734;38092;39975;FI003C1;633679
Oulu / Uleåborg;Finland;;2019;37167;36485;35569;34224;36539;FI004C2;643492
Espoo / Esbo;Finland;;2019;56731;56710;55600;56445;57347;FI005C1;660158
Vantaa / Vanda;Finland;;2019;56731;56710;55600;56445;57347;FI006C1;632453
Lahti / Lahtis;Finland;;2019;36038;34332;34645;34357;35387;FI007C1;649360
Kuopio;Finland;;2019;35450;34793;35105;35126;35946;FI008C1;650224
Jyväskylä;Finland;;2019;35120;34053;34318;35173;36346;FI009C1;655194
Paris;France;;2019;73717.5557953538;74750.853008916;75370.8072083467;76566.2046734865;77744.6873151862;FR001C1;2988507
Lyon;France;;2019;53367;52822;53034;53989;55388;FR003C2;2996944
Toulouse;France;;2019;47029;47577;48224;49255;49562;FR004C2;2972315
Strasbourg;France;;2019;39776;40009;40600;40066;40449;FR006C2;2973783
Bordeaux;France;;2019;40258;38994;39706;39591;40289;FR007C1;3031582
Nantes;France;;2019;40469;40389;40472;41571;42189;FR008C1;2990969
Lille;France;;2019;35070;35243;35158;36167;36249;FR009C1;2998324
Montpellier;France;;2019;35211;34390;34287;34188;34433;FR010C1;2992166
Saint-Etienne;France;;2019;32818;32501;32790;32723;33087;FR011C1;2980291
Le Havre;France;;2019;38077;38100;38015;38466;38678;FR012C1;3003796
Rennes;France;;2019;39453;39266;39713;40303;41043;FR013C2;2983990
Amiens;France;;2019;32846;32957;31605;33162;32337;FR014C2;3037854
Nancy;France;;2019;33171;33671;34260;32806;32221;FR016C1;2990999
Metz;France;;2019;29728;29520;30456;30445;30212;FR017C2;2994160
